Data_padrao;SÃO PAULO;Valor
2009-12-01;TOTAL;10314990.0
2010-01-01;COMERCIAL;1893540.0
2010-01-01;INDUSTRIAL;3864342.0
2010-01-01;OUTROS;1081600.3
2010-01-01;RESIDENCIAL;2824219.0
2010-01-01;TOTAL;9663701.3
2010-02-01;COMERCIAL;1946614.0
2010-02-01;INDUSTRIAL;4371815.0
2010-02-01;OUTROS;1057157.0
2010-02-01;RESIDENCIAL;2753910.0
2010-02-01;TOTAL;10129496.0
2010-03-01;COMERCIAL;2021962.0
2010-03-01;INDUSTRIAL;4485528.0
2010-03-01;OUTROS;1097932.0
2010-03-01;RESIDENCIAL;2835809.0
2010-03-01;TOTAL;10441231.0
2010-04-01;COMERCIAL;1998557.0
2010-04-01;INDUSTRIAL;4682153.0
2010-04-01;OUTROS;1132334.0
2010-04-01;RESIDENCIAL;2899400.0
2010-04-01;TOTAL;10712444.0
2010-05-01;COMERCIAL;1873228.0
2010-05-01;INDUSTRIAL;4550424.0
2010-05-01;OUTROS;1111725.0
2010-05-01;RESIDENCIAL;2794865.0
2010-05-01;TOTAL;10330242.0
2010-06-01;COMERCIAL;1782244.0
2010-06-01;INDUSTRIAL;4666532.0
2010-06-01;OUTROS;1104991.0
2010-06-01;RESIDENCIAL;2795205.0
2010-06-01;TOTAL;10348972.0
2010-07-01;COMERCIAL;1707790.0
2010-07-01;INDUSTRIAL;4604799.0
2010-07-01;OUTROS;1129714.0
2010-07-01;RESIDENCIAL;2721713.0
2010-07-01;TOTAL;10164016.0
2010-08-01;COMERCIAL;1834983.0
2010-08-01;INDUSTRIAL;4728386.0
2010-08-01;OUTROS;1190660.0
2010-08-01;RESIDENCIAL;2959164.0
2010-08-01;TOTAL;10713193.0
2010-09-01;COMERCIAL;1902262.0
2010-09-01;INDUSTRIAL;4748770.0
2010-09-01;OUTROS;1254817.0
2010-09-01;RESIDENCIAL;2936292.0
2010-09-01;TOTAL;10842141.0
2010-10-01;COMERCIAL;1881170.0
2010-10-01;INDUSTRIAL;4659799.0
2010-10-01;OUTROS;1171063.0
2010-10-01;RESIDENCIAL;2889998.0
2010-10-01;TOTAL;10602030.0
2010-11-01;COMERCIAL;1916409.0
2010-11-01;INDUSTRIAL;4717005.0
2010-11-01;OUTROS;1146840.0
2010-11-01;RESIDENCIAL;2870500.0
2010-11-01;TOTAL;10650754.0
2010-12-01;COMERCIAL;2108546.0
2010-12-01;INDUSTRIAL;4700429.0
2010-12-01;OUTROS;1164369.0
2010-12-01;RESIDENCIAL;2933031.0
2010-12-01;TOTAL;10906375.0
2011-01-01;COMERCIAL;2041243.0
2011-01-01;INDUSTRIAL;4325401.0
2011-01-01;OUTROS;1141411.0
2011-01-01;RESIDENCIAL;3044638.0
2011-01-01;TOTAL;10552693.0
2011-02-01;COMERCIAL;2132679.0
2011-02-01;INDUSTRIAL;4511015.0
2011-02-01;OUTROS;1108844.0
2011-02-01;RESIDENCIAL;2950718.0
2011-02-01;TOTAL;10703256.0
2011-03-01;COMERCIAL;2109646.0
2011-03-01;INDUSTRIAL;4600271.0
2011-03-01;OUTROS;1160418.0
2011-03-01;RESIDENCIAL;2989099.0
2011-03-01;TOTAL;10859434.0
2011-04-01;COMERCIAL;2101063.0
2011-04-01;INDUSTRIAL;4742962.0
2011-04-01;OUTROS;1154350.0
2011-04-01;RESIDENCIAL;2922397.0
2011-04-01;TOTAL;10920772.0
2011-05-01;COMERCIAL;1976148.0
2011-05-01;INDUSTRIAL;4581192.0
2011-05-01;OUTROS;1145291.0
2011-05-01;RESIDENCIAL;2909346.0
2011-05-01;TOTAL;10611977.0
2011-06-01;COMERCIAL;1881431.0
